file,season,exp,RCM,region,height,snw_1972-2001,pr_1972-2001,tas_1972-2001,snowday_1972-2001,sca_1972-2001,snw_2022-2051,pr_2022-2051,tas_2022-2051,snowday_2022-2051,sca_2022-2051,snw_2070-2099,pr_2070-2099,tas_2070-2099,snowday_2070-2099,sca_2070-2099,GCM,diff_snw_2022-2051,pro_diff_snw_2022-2051,diff_pr_2022-2051,pro_diff_pr_2022-2051,diff_tas_2022-2051,diff_snowday_2022-2051,pro_diff_snowday_2022-2051,diff_sca_2022-2051,diff_snw_2070-2099,pro_diff_snw_2070-2099,diff_pr_2070-2099,pro_diff_pr_2070-2099,diff_tas_2070-2099,diff_snowday_2070-2099,pro_diff_snowday_2070-2099,diff_sca_2070-2099
NCC-NorESM1-M_rcp85_r1i1p1_IPSL-WRF381P_EA_5,NA,rcp85,IPSL,EA,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NorESM1-M_r1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
CNRM-CERFACS-CNRM-CM5_rcp26_r1i1p1_GERICS-REMO2015_EA_5,NA,rcp26,GERICS,EA,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,CNRM-CM5_r1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
ICHEC-EC-EARTH_rcp85_r3i1p1_CLMcom-ETH-COSMO-crCLIM-v1-1_IP_0,NA,rcp85,CLMcom,IP,0,0.020062331,2.1428087,282.65405,0.016784262,142218160.0,0.0085652275,2.0087907,283.53604,0.0079392325,66672708.0,0.005262556,1.9970046,285.28522,0.0067060767,56298652.0,EC-EARTH_r3,-0.011497104,-57.30692,-0.13401794,-6.254312,0.8819885,-0.008845029,-52.698353,-75545460.0,-0.014799776,-73.768974,-0.14580405,-6.8043427,2.6311646,-0.010078185,-60.045452,-85919500.0
CNRM-CERFACS-CNRM-CM5_rcp85_r1i1p1_KNMI-RACMO22E_IP_5,NA,rcp85,KNMI,IP,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,CNRM-CM5_r1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NCC-NorESM1-M_rcp45_r1i1p1_SMHI-RCA4_AL_4,NA,rcp45,SMHI,AL,4,271.01096,4.303466,264.65247,29.028654,16359606000.0,237.85089,4.9101076,266.29617,27.955507,15757961000.0,184.15088,4.9679,267.58698,26.73382,15069420000.0,NorESM1-M_r1,-33.160065,-12.235691,0.60664177,14.096586,1.6437073,-1.0731468,-3.6968534,-601645060.0,-86.86008,-32.050392,0.66443396,15.439508,2.9345093,-2.2948341,-7.90541,-1290186800.0
NCC-NorESM1-M_rcp85_r1i1p1_ICTP-RegCM4-6_IP_5,NA,rcp85,ICTP,IP,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NorESM1-M_r1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
CNRM-CERFACS-CNRM-CM5_rcp85_r1i1p1_MOHC-HadREM3-GA7-05_SC_0,NA,rcp85,MOHC,SC,0,100.413956,2.0088682,266.7907,22.219412,721341700000.0,74.68229,2.08242,269.28998,19.118519,620745260000.0,46.60648,2.3936749,272.76086,13.313884,432434450000.0,CNRM-CM5_r1,-25.731667,-25.62559,0.07355189,3.6613598,2.4992676,-3.100893,-13.955783,-100596450000.0,-53.807476,-53.585655,0.38480663,19.155394,5.970154,-8.905528,-40.079945,-288907260000.0
ICHEC-EC-EARTH_rcp85_r12i1p1_CLMcom-CCLM4-8-17_AL_2,NA,rcp85,CLMcom,AL,2,57.402863,4.260099,271.6807,16.152203,28240888000.0,39.26986,4.550914,272.985,12.753367,22305790000.0,16.648973,4.6233,275.0633,7.5408263,13234215000.0,EC-EARTH_r12,-18.133003,-31.589022,0.29081488,6.826482,1.3042908,-3.3988352,-21.04255,-5935098000.0,-40.75389,-70.99627,0.36320114,8.52565,3.3825989,-8.611376,-53.313942,-15006673000.0
ICHEC-EC-EARTH_rcp85_r3i1p1_CLMcom-ETH-COSMO-crCLIM-v1-1_EU_0,NA,rcp85,CLMcom,EU,0,17.556343,1.865723,275.31113,6.6340985,832729300000.0,12.134576,1.9573094,276.73077,4.973277,622681000000.0,4.8372087,2.0446534,278.8713,2.68067,334787000000.0,EC-EARTH_r3,-5.421767,-30.882097,0.09158635,4.908893,1.4196472,-1.6608214,-25.03462,-210048320000.0,-12.719134,-72.44752,0.1789304,9.590405,3.5601807,-3.9534285,-59.592552,-497942330000.0
ICHEC-EC-EARTH_rcp45_r3i1p1_DMI-HIRHAM5_AL_1,NA,rcp45,DMI,AL,1,9.40492,4.0953703,275.07544,4.524818,13262738000.0,4.999546,4.098481,276.13504,2.735985,8081804000.0,4.124489,4.3725095,276.9908,2.1820076,6410179000.0,EC-EARTH_r3,-4.4053736,-46.84116,0.0031108856,0.07596103,1.0596008,-1.7888329,-39.53381,-5180934700.0,-5.280431,-56.145412,0.2771392,6.7671337,1.9153748,-2.3428104,-51.776897,-6852559400.0
