file,month,exp,RCM,region,height,snw_1972-2001,pr_1972-2001,tas_1972-2001,snowday_1972-2001,sca_1972-2001,snw_2022-2051,pr_2022-2051,tas_2022-2051,snowday_2022-2051,sca_2022-2051,snw_2070-2099,pr_2070-2099,tas_2070-2099,snowday_2070-2099,sca_2070-2099,GCM,diff_snw_2022-2051,pro_diff_snw_2022-2051,diff_pr_2022-2051,pro_diff_pr_2022-2051,diff_tas_2022-2051,diff_snowday_2022-2051,pro_diff_snowday_2022-2051,diff_sca_2022-2051,pro_diff_sca_2022-2051,diff_snw_2070-2099,pro_diff_snw_2070-2099,diff_pr_2070-2099,pro_diff_pr_2070-2099,diff_tas_2070-2099,diff_snowday_2070-2099,pro_diff_snowday_2070-2099,diff_sca_2070-2099,pro_diff_sca_2070-2099
MOHC-HadGEM2-ES_rcp85_r1i1p1_DMI-HIRHAM5_SC_3,Mar,rcp85,DMI,SC,3,961.6613,6.257799,263.92648,29.032258064516128,100.0,821.2896,6.358032,265.51114,29.032258064516128,100.0,726.5923,6.331682,267.6198,29.025806919220955,99.97778,HadGEM2-ES_r1,-140.3717,-14.596791,0.10023308,1.6017305,1.5846558,0.0,0.0,0.0,0.0,-235.06903,-24.444056,0.07388306,1.1806556,3.6933289,-0.006451145295173433,-0.022220611572264046,-0.022216797,-0.022216797
MOHC-HadGEM2-ES_rcp85_r1i1p1_DMI-HIRHAM5_SC_3,Apr,rcp85,DMI,SC,3,1098.0724,5.8332367,267.13364,29.997777938842773,99.99259,901.11774,5.138004,268.87064,29.98444366455078,99.948166,766.00323,6.046273,270.73218,29.535554885864258,98.45091,HadGEM2-ES_r1,-196.95465,-17.9364,-0.69523287,-11.918475,1.7369995,-0.013334274291992188,-0.04445087339194626,-0.044425964,-0.044429258,-332.06915,-30.241096,0.21303654,3.6521153,3.5985413,-0.4622230529785156,-1.540857639258686,-1.5416794,-1.5417936
MOHC-HadGEM2-ES_rcp85_r1i1p1_DMI-HIRHAM5_SC_3,May,rcp85,DMI,SC,3,957.4198,4.64375,271.02884,28.567742378480972,98.39965,622.20374,4.5610213,272.53802,26.169893203243134,90.13658,393.18277,5.9785833,274.73584,21.094623073454827,72.644516,HadGEM2-ES_r1,-335.21606,-35.012444,-0.08272886,-1.7815098,1.5091858,-2.3978491752378375,-8.393555022548961,-8.263069,-8.397457,-564.23706,-58.93309,1.3348331,28.744722,3.7070007,-7.473119305026145,-26.15929255458202,-25.755135,-26.17401
MOHC-HadGEM2-ES_rcp85_r1i1p1_DMI-HIRHAM5_SC_3,Jun,rcp85,DMI,SC,3,381.38144,4.864435,274.50864,19.775554656982422,65.8998,118.15203,5.2845764,277.88483,8.666666984558105,28.87066,30.100548,5.981007,281.6271,3.1111111640930176,10.359765,HadGEM2-ES_r1,-263.2294,-69.01998,0.42014122,8.636999,3.3761902,-11.108887672424316,-56.17484750801643,-37.029144,-56.19007,-351.28088,-92.1075,1.1165719,22.953783,7.118469,-16.664443492889404,-84.26789428637069,-55.54004,-84.27952
MOHC-HadGEM2-ES_rcp85_r1i1p1_DMI-HIRHAM5_SC_3,Jul,rcp85,DMI,SC,3,55.92584,6.5666533,276.76416,4.922580565175703,16.936823,1.4203287,7.470115,279.44254,0.28602151140089954,0.9836594,0.0,6.278043,283.2894,0.0,0.0,HadGEM2-ES_r1,-54.50551,-97.460335,0.90346193,13.758331,2.6783752,-4.636559053774803,-94.18960222968559,-15.953163,-94.192184,-55.92584,-100.0,-0.28861046,-4.395092,6.525238,-4.922580565175703,-100.0,-16.936823,-100.0
MOHC-HadGEM2-ES_rcp85_r1i1p1_DMI-HIRHAM5_SC_3,Aug,rcp85,DMI,SC,3,6.4997525,6.582773,276.33655,1.9333333738388556,6.6527033,0.34307295,6.773728,278.6305,0.3032258056825207,1.0429986,0.00010059498,6.32979,281.61523,0.0,0.0,HadGEM2-ES_r1,-6.1566796,-94.721756,0.19095469,2.9008243,2.2939453,-1.6301075681563348,-84.31590693122773,-5.609705,-84.32219,-6.499652,-99.99845,-0.2529831,-3.8431082,5.2786865,-1.9333333738388556,-100.0,-6.6527033,-100.0
IPSL-IPSL-CM5A-MR_rcp85_r1i1p1_DMI-HIRHAM5_IP_4,Sep,rcp85,DMI,IP,4,1.3203499,6.429491,280.49814,0.8303030133247375,2.7708042,0.121273465,3.865283,283.6352,0.10000000149011612,0.3337948,0.0,2.6694705,287.65933,0.0,0.0,IPSL-CM5A-MR_r1,-1.1990764,-90.81505,-2.564208,-39.881977,3.1370544,-0.7303030118346214,-87.95620395382025,-2.4370093,-87.95314,-1.3203499,-100.0,-3.7600205,-58.480843,7.161194,-0.8303030133247375,-100.0,-2.7708042,-100.0
IPSL-IPSL-CM5A-MR_rcp85_r1i1p1_DMI-HIRHAM5_IP_4,Okt,rcp85,DMI,IP,4,10.887583,7.0304766,275.82867,5.337243387776037,17.806032,4.0469365,5.4169426,278.44342,2.3357772058056248,7.794362,1.2233454,4.040508,280.96796,0.8753665993290562,2.9216068,IPSL-CM5A-MR_r1,-6.8406463,-62.8298,-1.613534,-22.950563,2.614746,-3.0014661819704123,-56.23626212821233,-10.01167,-56.226284,-9.664237,-88.76385,-2.9899688,-42.52868,5.139282,-4.461876788446981,-83.59890048608388,-14.884425,-83.59204
IPSL-IPSL-CM5A-MR_rcp85_r1i1p1_DMI-HIRHAM5_IP_4,Nov,rcp85,DMI,IP,4,72.35547,8.058472,271.08197,17.00303077697754,56.703854,40.90886,8.087802,273.07153,12.633333206176758,42.139687,14.622919,6.9177065,275.58304,7.412121295928955,24.731974,IPSL-CM5A-MR_r1,-31.44661,-43.461273,0.029330254,0.36396796,1.989563,-4.369697570800781,-25.699521621271447,-14.564167,-25.684616,-57.73255,-79.79018,-1.1407652,-14.156099,4.501068,-9.590909481048584,-56.407058287719366,-31.97188,-56.383965
IPSL-IPSL-CM5A-MR_rcp85_r1i1p1_DMI-HIRHAM5_IP_4,Dec,rcp85,DMI,IP,4,235.58582,8.49849,268.16772,27.102640213504912,90.35874,182.42621,10.547072,269.7597,24.03518984394689,80.15076,54.86496,7.789207,272.953,13.72727301812941,45.794746,IPSL-CM5A-MR_r1,-53.159607,-22.56486,2.048582,24.105247,1.59198,-3.067450369558024,-11.317902408745963,-10.207985,-11.297174,-180.72086,-76.711266,-0.70928335,-8.345992,4.7852783,-13.375367195375503,-49.350790513430205,-44.563995,-49.318962
IPSL-IPSL-CM5A-MR_rcp85_r1i1p1_DMI-HIRHAM5_IP_4,Jan,rcp85,DMI,IP,4,469.09885,9.864635,267.38058,29.149560005434097,97.1747,402.89862,9.411103,268.58597,27.784457052907634,92.64036,117.194786,8.713236,271.57892,19.16715560420867,63.928787,IPSL-CM5A-MR_r1,-66.200226,-14.112212,-0.45353222,-4.5975566,1.2053833,-1.3651029525264633,-4.683099684084354,-4.53434,-4.6661735,-351.90405,-75.01704,-1.1513996,-11.671993,4.1983337,-9.982404401225427,-34.24547197063865,-33.24591,-34.212517
IPSL-IPSL-CM5A-MR_rcp85_r1i1p1_DMI-HIRHAM5_IP_4,Feb,rcp85,DMI,IP,4,690.4842,9.929156,267.12973,28.90909043033566,97.23665,569.0965,8.716934,268.5927,27.335479196194,91.958725,193.9775,9.375013,271.48462,20.846338862866425,70.151855,IPSL-CM5A-MR_r1,-121.387695,-17.580084,-1.2122221,-12.208713,1.4629822,-1.5736112341416586,-5.4433093906351155,-5.2779236,-5.427916,-496.5067,-71.907036,-0.55414295,-5.580967,4.354889,-8.062751567469235,-27.890021607212564,-27.084793,-27.854511
IPSL-IPSL-CM5A-MR_rcp85_r1i1p1_DMI-HIRHAM5_IP_4,Mar,rcp85,DMI,IP,4,811.3297,10.087165,268.59186,28.322580399051787,94.42379,614.6,8.341201,269.85248,26.348972935830393,87.859886,191.34206,8.762136,273.22815,16.859236686460434,56.22872,IPSL-CM5A-MR_r1,-196.72974,-24.247814,-1.745964,-17.30877,1.2606201,-1.973607463221395,-6.968317983086984,-6.563904,-6.951536,-619.9877,-76.41624,-1.3250284,-13.135786,4.6362915,-11.463343712591353,-40.47422074923348,-38.19507,-40.450684
